source.message,dataset,timestamp,$workers.truncated,$workers.event.request.url,$workers.event.request.method,$workers.event.request.path,$workers.outcome,$workers.scriptName,$workers.eventType,$workers.executionModel,$workers.scriptVersion.id,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now
"[route-metrics] {""windowMs"":61940,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":296,""maxMs"":296,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":298,""maxMs"":298,""statusCounts"":{""200"":1}}]}",cloudflare-workers,2026-04-03T02:04:51.471Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e648143cbf150bd,01KN8HC1WFTCTF05RT58Q4X5HG,9e648143cbf150bd,GET /api/messages,mansion-deseo-api-production,"[route-metrics] {""windowMs"":61940,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":296,""maxMs"":296,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":298,""maxMs"":298,""statusCounts"":{""200"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":61940,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":296,""maxMs"":296,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":298,""maxMs"":298,""statusCounts"":{""200"":1}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,cloudflare-workers,2026-04-03T02:04:51.173Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e648143cbf150bd,01KN8HC1K5FZJ5SFJ32HVH2V0J,9e648143cbf150bd,GET /api/messages,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,cloudflare-workers,2026-04-03T02:03:56.783Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,GET,/api/visits,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e647fefdd6550bd,01KN8HACFFQQ54DNB9Y8EBMBGN,9e647fefdd6550bd,GET /api/visits,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,undefined,undefined,undefined
"[route-metrics] {""windowMs"":220537,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":744,""maxMs"":744,""statusCounts"":{""200"":1}}]}",cloudflare-workers,2026-04-03T02:03:49.531Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e647fbdda7d50bd,01KN8HA5CVRBVJ15C7ANBVMXYQ,9e647fbdda7d50bd,GET /api/messages,mansion-deseo-api-production,"[route-metrics] {""windowMs"":220537,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":744,""maxMs"":744,""statusCounts"":{""200"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":220537,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":744,""maxMs"":744,""statusCounts"":{""200"":1}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,cloudflare-workers,2026-04-03T02:03:48.787Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e647fbdda7d50bd,01KN8HA55SWQ1A8RF1BG3QTQCJ,9e647fbdda7d50bd,GET /api/messages,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,undefined,undefined,undefined
websocket:close,cloudflare-workers,2026-04-03T02:03:41.281Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,WYA8ZO4WFR5Y0JKR,01KN8H9XB16H5TMNNAPTC978F0,WYA8ZO4WFR5Y0JKR,mansion-deseo-api-production,mansion-deseo-api-production,websocket:close,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:close,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-03T02:02:56.283Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,7FETM5VWOFUBVV1G,01KN8H9PSTN3A97EPXMTP14TJ8,7FETM5VWOFUBVV1G,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
websocket:close,cloudflare-workers,2026-04-03T02:02:25.451Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,PYZVOH9IP9UYC52I,01KN8HDCGTAQ31RT8Q325Q7AZY,PYZVOH9IP9UYC52I,mansion-deseo-api-production,mansion-deseo-api-production,websocket:close,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:close,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-03T02:02:11.280Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,KWL0UP63YRS3UODJ,01KN8H8BNN0D1KE1V15AJ6CPS1,KWL0UP63YRS3UODJ,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-03T02:01:26.276Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,121980VVTEKGFAM6,01KN8H6RRX7ZGTPZR3R7TH942B,121980VVTEKGFAM6,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
